"","date","budget","days_since_jan_2020"
"1","2020-12-09",4,343
"2","2020-12-10",4,344
"3","2020-12-11",7,345
"4","2020-12-12",7,346
"5","2020-12-13",6455,347
"6","2020-12-14",16407,348
"7","2020-12-15",298845,349
"8","2020-12-16",628974,350
"9","2020-12-17",809370,351
"10","2020-12-18",1046537,352
"11","2020-12-19",1098303,353
"12","2020-12-20",1110943,354
"13","2020-12-21",1350133,355
"14","2020-12-22",1393139,356
"15","2020-12-23",1697152,357
"16","2020-12-24",1722812,358
"17","2020-12-25",1525259,359
"18","2020-12-26",1522246,360
"19","2020-12-27",1610913,361
"20","2020-12-28",1856269,362
"21","2020-12-29",2170817,363
"22","2020-12-30",2486460,364
"23","2020-12-31",4015891,365
"24","2021-01-01",4129181,366
"25","2021-01-02",4639915,367
"26","2021-01-03",4733958,368
"27","2021-01-04",4992947,369
"28","2021-01-05",5639488,370
"29","2021-01-06",5890799,371
"30","2021-01-07",5316563,372
"31","2021-01-08",6305025,373
"32","2021-01-09",8199014,374
"33","2021-01-10",9415984,375
"34","2021-01-11",10136120,376
"35","2021-01-12",10303055,377
"36","2021-01-13",11478217,378
"37","2021-01-14",12433767,379
"38","2021-01-15",13032688,380
"39","2021-01-16",11703507,381
"40","2021-01-17",10762419,382
"41","2021-01-18",11159022,383
"42","2021-01-19",11700610,384
"43","2021-01-20",13829013,385
"44","2021-01-21",14292331,386
"45","2021-01-22",14935297,387
"46","2021-01-23",15356800,388
"47","2021-01-24",15588764,389
"48","2021-01-25",16121717,390
"49","2021-01-26",16473149,391
"50","2021-01-27",18169041,392
"51","2021-01-28",18675294,393
"52","2021-01-29",19032795,394
"53","2021-01-30",19241241,395
"54","2021-01-31",19882299,396
"55","2021-02-01",20177456,397
"56","2021-02-02",20530410,398
"57","2021-02-03",20901743,399
"58","2021-02-04",21550659,400
"59","2021-02-05",22120004,401
"60","2021-02-06",22491211,402
"61","2021-02-07",22007575,403
"62","2021-02-08",22117120,404
"63","2021-02-09",26511115,405
"64","2021-02-10",23801228,406
"65","2021-02-11",23873369,407
"66","2021-02-12",24406088,408
"67","2021-02-13",24659944,409
"68","2021-02-14",24873188,410
"69","2021-02-15",25062009,411
"70","2021-02-16",21137283,412
"71","2021-02-17",21136144,413
"72","2021-02-18",21644646,414
"73","2021-02-19",21225623,415
"74","2021-02-20",21239289,416
"75","2021-02-21",21208688,417
"76","2021-02-22",21130812,418
"77","2021-02-23",21450345,419
"78","2021-02-24",21911269,420
"79","2021-02-25",22385804,421
"80","2021-02-26",23383395,422
"81","2021-02-27",24061141,423
"82","2021-02-28",29505273,424
"83","2021-03-01",30431940,425
"84","2021-03-02",33200550,426
"85","2021-03-03",34210280,427
"86","2021-03-04",35546021,428
"87","2021-03-05",36544066,429
"88","2021-03-06",37639826,430
"89","2021-03-07",33142714,431
"90","2021-03-08",34365358,432
"91","2021-03-09",33392531,433
"92","2021-03-10",34378011,434
"93","2021-03-11",34211087,435
"94","2021-03-12",35023057,436
"95","2021-03-13",35522984,437
