area,t,S,SV,E,EV,I,IV,H,D,R,W,V,t_n,L
area2,-1,0,0,0,0,0,0,0,0,0,0,0,5.92967673158008,5
area1,0,49946.94039609729,49968.164237658384,31.25,18.749999999999996,21.80960390269776,13.085762341618652,0,0,0,49946.94039609729,0.0,5.92967673158008,5
area1,1,49934.495970303054,49960.69440939264,37.44442579424068,22.469828265739675,21.80960390269776,13.08576234161865,2.4374999999999996,0.0,7.562499999999998,0.0,0.0,5.92967673158008,5
area1,2,49922.054645073775,49953.2256978046,42.396865864671284,25.444574200639313,23.04848906154589,13.829727994766587,4.71249991875,0.016250008124999996,15.271250073124994,0.0,0.0,5.92967673158008,5
area1,3,49908.9097119374,49945.333813348974,47.06242582811229,28.247543816136904,24.922833675623878,14.955443853706194,6.974321515251788,0.04766668995833305,23.546239334834397,0.0,0.0,5.92967673158008,5
area1,4,49894.90819299449,49936.92677090063,51.86036677108425,31.130513278382583,27.193157471989124,16.319156116333136,9.29488440095818,0.09416218997441668,32.60713881896957,0.0,0.0,5.92967673158008,5
area1,5,49881.22213452318,49928.70822045832,56.98919791233112,34.21278569390877,29.772460496300376,17.868661884595944,11.714545763148497,0.15612811696375256,42.594878747109014,0.0,0.0,5.92967673158008,5
area1,6,49868.501776702426,49921.06874002563,62.558292631395595,37.5600804779872,32.63837630188131,19.590578718447144,14.261248833925576,0.23422512776656174,53.62264274734497,0.0,0.0,5.92967673158008,5
area1,7,49860.33080650146,49916.160990036646,63.329425779399635,38.02614031337086,35.796822692953995,21.488503080120466,16.958575836939456,0.32930016753022834,65.79754457369796,0.0,0.0,5.92967673158008,5
area1,8,49853.15023305725,49911.84782178118,65.2297150941114,39.17040305577826,38.204376572891405,22.935749326621437,19.8292002043997,0.4423573963050775,79.23017606957859,0.0,373.1935412634921,5.92967673158008,5
area1,9,49488.1619078702,50266.90595148365,67.72773325112021,40.6736801176546,40.30205319284362,24.19710931749786,22.77764087583595,0.5745521304317428,93.67052768316498,0.0,10000.0,5.92967673158008,5
area1,10,39482.90954907446,60263.70494805509,70.45996292199703,42.45929780968902,42.298200157541274,25.397655526804098,25.764079102650477,0.7264031455294521,109.0158279410038,0.0,10000.0,5.92967673158008,5
area1,11,29479.371256982136,70260.46460030976,70.0012285694969,46.45269823924161,44.26875522459392,26.611283546770125,28.774638956837606,0.898163758760719,125.23317653290395,0.0,10000.0,5.92967673158008,5
area1,12,19477.12888747133,80257.25795274062,66.87787803421332,52.71640570195359,45.5828594850262,28.275801057336984,31.80607449052615,1.0899947810550996,142.3220735676696,0.0,10000.0,5.92967673158008,5
area1,13,9475.207969345023,90252.50876339778,65.77349045895737,72.5118436487835,45.89570946638542,30.716057612925585,34.81993983965394,1.3020353836788556,160.26191782620361,0.0,9386.281200779362,5.92967673158008,5
area1,14,0.0,99721.16935518631,59.91534717245897,99.70981829752765,45.89802820068535,36.41609499648859,37.7646728655222,1.5341684320096813,179.03976245568975,0.0,0.0,5.92967673158008,5
area1,15,0.0,99716.08044063,47.93227773796718,128.40900479117957,44.72805379567855,45.92226189675539,40.75830941473369,1.7859330436620722,199.3832018935632,0.0,0.0,5.92967673158008,5
area1,16,0.0,99711.90550316518,38.34582219037375,154.6220478847537,41.49674623899059,58.444074340976215,43.860414636861144,2.0576552422879946,221.98712609110632,0.0,0.0,5.92967673158008,5
area1,17,0.0,99708.49159473616,30.676657752299004,178.66432205540158,37.27414661061157,72.62010708995906,47.01617127652123,2.3500581527351176,247.17910743542078,0.0,0.0,5.92967673158008,5
area1,18,0.0,99705.70770030728,24.541326201839183,200.97104454537447,32.7277886927218,87.54215479216273,50.207887637717135,2.663499451299163,275.166455952887,0.0,0.0,5.92967673158008,5
area1,19,0.0,99703.44293529796,19.633060961471347,221.9784112221583,28.25721879962766,102.64932086029275,53.43740042112007,2.998218869576903,306.0681017256132,0.0,0.0,5.92967673158008,5
area1,20,0.0,99639.0,15.70644876917708,242.08059123732096,24.08613154329383,117.62868457646945,56.71666289229206,3.3544683838423714,339.9466077170588,0.0,0,5.92967673158008,5
area2,0,89801.02648536488,9986.735099024325,117.1875,7.812499999999999,81.7860146351166,5.452400975674439,0,0,0,89801.02648536488,10000.0,5.92967673158008,5
area2,1,79768.94584885094,19984.59449441514,125.83063651395022,8.390604609180862,81.7860146351166,5.452400975674439,7.265625,0.0,17.734375,0.0,10000.0,5.92967673158008,5
area2,2,69740.44908598493,29980.310900761844,129.16127207717284,10.99607734064335,83.51464193790665,5.568021897510611,14.0468747578125,0.04843752421875,35.90468771796875,0.0,10000.0,5.92967673158008,5
area2,3,59715.008264526026,39973.74893782437,128.76983912064415,15.358824809992079,85.41402189855334,6.171603762447767,20.529623349310924,0.14208340276041587,54.85680130590802,0.0,10000.0,5.92967673158008,5
area2,4,49692.72196444312,49964.79775127856,125.36668136713858,21.26415652388088,86.69080805319186,7.474766062637764,26.76942600848778,0.27894762685456653,74.72591875393576,0.0,10000.0,5.92967673158008,5
