area,t,S,SV,E,EV,I,IV,H,D,R,W,V,t_n,L
area2,-1,0,0,0,0,0,0,0,0,0,0,0,5.504332660318851,20
area1,0,49946.94039609729,49968.164237658384,31.25,18.749999999999996,21.80960390269776,13.085762341618652,0,0,0,49946.94039609729,500,5.504332660318851,20
area1,1,49438.051520529974,50462.82864604,33.88887556731477,20.33559161838548,21.80960390269776,13.08576234161865,1.9874999999999998,0.0,8.012499999999998,0.0,500,5.504332660318851,20
area1,2,48929.25321006748,50957.44023424477,35.90941091634463,21.65688299311045,22.337379016160714,13.402880665295744,3.8424999337499997,0.013250006624999998,16.144250059624994,0.0,500,5.504332660318851,20
area1,3,48420.334647833355,51451.86728466302,37.64609096720088,22.898455976240825,23.118016157389448,13.893380103000524,5.6219329634827595,0.03886668565833311,24.581322308033556,0.0,500,5.504332660318851,20
area1,4,47911.19655575063,51946.041155151586,39.254964856485984,24.144894292426688,24.02228087652429,14.49163163369274,7.354066342542828,0.07634625748799471,33.41810219488004,0.0,500,5.504332660318851,20
area1,5,47401.79141734405,52439.92283949438,40.80911029175966,25.434231091148614,24.989184794755047,15.167729091860412,9.05360816489133,0.1253733909518347,42.70650366103311,0.0,500,5.504332660318851,20
area1,6,46892.0959054816,52933.48723596015,42.34280009586237,26.782988407146252,25.989831177289233,15.907944334770551,10.7287856269978,0.18573080889647076,52.478775750383285,0.0,500,5.504332660318851,20
area1,7,46382.09815487974,53426.71574331962,43.87199067854257,28.19788336624662,27.010459286154756,16.70578650024027,12.384675132809297,0.25725608217240814,62.758048397562334,0.0,500,5.504332660318851,20
area1,8,45871.79188629168,53919.59277858796,45.40386113089656,29.68127142465212,28.044443093770617,17.55796923032924,14.024775827855446,0.3398206243400539,73.56319143160155,0.0,500,5.504332660318851,20
area1,9,45361.173697310966,54412.10414469323,46.94127788542911,31.233651034453537,29.088491218124986,18.46261871495498,15.651755679729177,0.43331917660834296,84.91104192958915,0.0,500,5.504332660318851,20
area1,10,44850.24181889857,54904.2362727906,48.48490072074238,32.85479273019639,30.14082877834151,19.418497814082325,17.26780571764907,0.5376642666457231,96.81741592626454,0.0,500,5.504332660318851,20
area1,11,44338.99555058079,55395.975878894846,50.03418889437452,34.54422807991337,31.200321478651883,20.424677587722087,18.87480767747609,0.6527830289894025,109.29756098501134,0.0,500,5.504332660318851,20
area1,12,43827.43501021021,55887.3098176876,51.587891486074035,36.301443671178816,32.26605193106804,21.480403732942072,20.47441234285145,0.778615143088602,122.36635181298664,0.0,500,5.504332660318851,20
area1,13,43812.289736647675,55881.49632259038,53.14429454808386,38.125942237473325,33.33711546034475,22.58503954607699,22.068075091240296,0.9151112936223195,136.0383684601551,0.0,500,5.504332660318851,20
area1,14,43760.88816123239,55911.13959181037,54.84109607436921,39.93339954936324,34.41252385537507,23.738976817041895,23.65707102496381,1.0622318677908384,150.32791983460837,0.0,500,5.504332660318851,20
area1,15,43747.96744247515,55901.49148902397,56.64823186057135,41.740186182057414,35.51911169649022,24.922761618962053,25.24250864995456,1.219945753480834,165.24930202312282,0.0,500,5.504332660318851,20
area1,16,43734.712388029366,55891.34064625406,58.56707173093839,43.549559918857305,36.67001071062959,26.12865813546596,26.82756232753033,1.3882292286222266,180.81685294828813,0.0,500,5.504332660318851,20
area1,17,43835.566283764994,55907.982252854395,60.58999727002565,45.372367733706454,37.87486335170177,27.350854428698803,28.416257240632472,1.5670797335643032,197.04558486013835,0.0,0,5.504332660318851,20
area1,18,43832.65184193236,55907.28757867892,62.749779005689504,47.223843205551795,39.139025340146375,28.58736627095345,30.013129234851156,1.7565215432227104,213.95107022630842,0.0,0,5.504332660318851,20
area1,19,43817.850140108734,55903.35006793742,65.00424309375185,49.10864179891899,13594.623222736785,13594.623222736785,31.62285514550443,1.9566091714988154,231.54967645776352,0.0,0,5.504332660318851,20
area1,20,38099.253374491556,51525.836577018184,5770.600160092177,4416.800404358364,9711.799299792632,9708.620179533666,1315.1368383641336,2.1674283112116957,6739.474417225228,0.0,0,5.504332660318851,20
area2,0,89920.41059414596,9994.69403960973,46.875,3.1249999999999996,32.71440585404664,2.1809603902697754,0,0,0,89920.41059414596,0,5.504332660318851,20
area2,1,89902.05443103191,9993.469862143098,55.856163114053885,3.7241774666323577,32.71440585404664,2.1809603902697754,2.83125,0.0,7.168749999999999,0.0,0,5.504332660318851,20
area2,2,89883.70201510632,9992.245834617072,63.037346416843974,4.203369499333372,34.510638476857416,2.300795883596247,5.473749905625,0.018875009437499996,14.507375084937498,0.0,0,5.504332660318851,20
area2,3,89864.34585684934,9990.954756341156,69.78603539046017,4.653773875381778,37.2283595812747,2.4821284063048608,8.095537757791863,0.05536669372083301,22.39818510459687,0.0,0,5.504332660318851,20
area2,4,89843.46984631874,9989.562182180298,76.70483884297205,5.115593261162848,418.81369963435765,2.730367132057913,10.777744621409818,0.1093369724245713,31.041882215363838,0.0,0,5.504332660318851,20
area2,5,89616.82068998725,9977.747472787401,288.0130274058796,19.2129447638684,314.1348131629346,2.9903669863225,46.08865949061496,0.1811886391597855,116.46142043674196,0.0,0,5.504332660318851,20
area2,6,89446.94535678977,9966.399336376515,400.2857551221733,26.71849222198182,315.94936980050784,5.993181316245124,70.0483674915557,0.4884465227260835,183.07333455278768,0.0,0,5.504332660318851,20
area2,7,89270.2066815268,9954.583740826594,496.9672793607061,33.190389327506786,338.7773793630248,9.632778220928936,92.59257620532614,0.9554358728310131,252.32153530499133,0.0,0,5.504332660318851,20
area2,8,89041.56561592106,9955.793520951313,626.2148890943134,41.84986740214582,1759.753294298931,16.493084890999672,115.62768066627744,1.5727200228417746,328.51339396302046,0.0,0,5.504332660318851,20
area2,9,87663.0386662669,9844.32506896106,2162.5380236949804,144.94834591196857,1380.7047023673113,22.599620288883166,259.34923635267353,2.3435716127092263,693.0416878175945,0.0,0,5.504332660318851,20
area2,10,86219.19723212726,9747.041347278871,3173.871853095624,213.242398411762,2430.637867195224,69.6298759493415,360.9545486697258,4.072567386224504,991.8537027749353,0.0,0,5.504332660318851,20
area2,11,83665.28415567466,9575.02198066067,5093.0105589291,343.82515135051733,2422.7582821896176,66469.71184883968,546.4546144273469,6.478932247204504,1520.4514995770155,0.0,0,5.504332660318851,20
area2,12,41199.083660964854,6675.804486087969,46540.60946195858,3191.0710729736456,2747.0681302900766,47490.18508487594,1289.7607215163266,10.121964831568864,20516.08641782287,0.0,0,5.504332660318851,20
area2,13,89140.33853350778,5921.657217523644,52677.53073892988,4054.4643600362665,11267.959961516435,34519.39338052306,1848.2249436715608,18.720373940880112,34345.56367768167,0.0,0,5.504332660318851,20
area2,14,88668.45351076422,6421.223216286239,76350.03258398919,4607.049128525927,18574.43997441826,25438.02917208044,2990.498764472306,31.041879726106995,46312.295985677294,0.0,0,5.504332660318851,20
area2,15,77485.91731714694,5369.916060695994,128533.15604398116,5250.03044439483,28521.550653307084,19069.63753991336,4606.694875599733,50.97854812425158,57288.860501933,0.0,0,5.504332660318851,20
area2,16,87579.37786201808,7642.510984836459,139985.6705824621,5745.142491499189,46054.73256983445,14655.871865905534,6915.560671000763,81.68986265056606,68587.53778372503,0.0,0,5.504332660318851,20
area2,17,70105.22558801473,12483.961278214603,169631.4496910105,7614.198443726627,60876.909510172365,11828.774773684423,10539.906728290898,127.79362350910671,82314.9865893308,0.0,0,5.504332660318851,20
area2,18,87068.66211674329,6374.13516141751,192889.29768733185,12695.406558046043,77406.68288464793,9961.830646760229,15172.606493449914,198.05970349740178,98447.36139509261,0.0,0,5.504332660318851,20
area2,19,78786.43335498936,2547.4454559422757,241432.80948019278,13983.121589508897,93802.03190117786,9646.140188096711,20901.49519752215,299.2104640290895,117654.60422169785,0.0,0,5.504332660318851,20
area2,20,0.0,720.809995411897,287302.06986698083,13013.1327321375,115207.65171326399,9678.460466155428,27655.273234018525,438.5538350175545,140406.7289380085,0.0,0,5.504332660318851,20
