area,t,S,SV,E,EV,I,IV,H,D,R,W,V,t_n,L
area2,-1,0,0,0,0,0,0,0,0,0,0,0,53.780754852152434,5
area1,0,49734.70198048652,49840.821188291906,156.25,93.74999999999999,109.0480195134888,65.42881170809326,0,0,0,49734.70198048652,800.0,53.78200066786643,5
area1,1,48894.87201128335,50616.87221551508,164.8299692031701,98.94897277682595,109.04801951348878,65.42881170809326,12.1875,0.0,37.81249999999999,38929.38905343154,800.0,53.78200066786643,5
area1,2,48055.7146187817,51392.5503430853,171.02136786418322,103.48105065124753,110.7640133541228,66.46860626345847,23.562499593749997,0.08125004062499999,76.35625036562499,38098.21250455618,800.0,53.78200066786643,5
area1,3,47216.6220659257,52167.46613397557,175.90964714734446,107.86904963072651,113.22653285605512,68.11684142818241,34.37138796818348,0.23833344979166526,116.18000761845474,37267.22021991598,800.0,53.78200066786643,5
area1,4,46377.33208332128,52941.4203211168,180.01770032229936,112.34105256335309,115.96102153843144,70.17033998941204,44.7422398867901,0.467476150817515,157.5477651108305,36436.20935191887,800.0,53.78200066786643,5
area1,5,45537.747109537704,53714.30770413773,183.59913404141494,116.98545902974752,118.73349569960149,72.52976600097686,54.74505984908225,0.765757899203582,200.58651380454793,35605.10953812671,800.0,53.78200066786643,5
area1,6,44697.84887913417,54486.07039385195,186.7775376366663,121.82567750958282,121.42774591175397,75.14193023426043,64.42079948238049,1.1307251473476632,245.35631109190206,34773.91386082458,800.0,53.78200066786643,5
area1,7,43857.657928576686,55256.67506030211,189.61298066681508,126.85587555750587,123.98558286540998,77.97356764701475,73.79540325500598,1.5601973586328648,291.88340377083085,33942.646211760526,800.0,53.78200066786643,5
area1,8,43017.21430395144,56026.1018788365,192.13400915869892,132.05788191161093,126.37750653144958,80.99977950434325,82.8866534731484,2.0521669596509153,340.1758196731665,33111.34577970345,800.0,53.78200066786643,5
area1,9,42176.568292240285,56794.33918620364,194.35321903811217,137.4089981621531,128.58817993896534,84.19916807432628,91.70754051116815,2.6047449257607496,390.2306709056001,32280.05960345725,800.0,53.78200066786643,5
area1,10,41335.77005150892,57561.37620392055,196.2808159618612,142.89018081281458,130.60918043329855,87.55192791252915,100.26795038329318,3.216128834860339,442.0375602318925,31448.834454142125,800.0,53.78200066786643,5
area1,11,40494.85458833221,58327.19055262332,197.94011594619639,148.4977959474793,132.43654017972,91.04012054127068,108.57553457933373,3.884582171642128,495.58016967884237,30617.705395061927,800.0,53.78200066786643,5
area1,12,39653.85009605556,59091.753801082705,199.3565850336014,154.23498829859793,134.07209161311675,94.65022134713406,116.63632227249131,4.608419430756134,550.8374748660458,29786.702358326434,800.0,53.78200066786643,5
area1,13,38812.7819761246,59855.03423070825,200.55338795784033,160.10756101333197,135.52223525417455,98.3732104251841,124.455516863397,5.385995301360484,607.7858863518677,28955.85330175724,800.0,53.78200066786643,5
area1,14,37971.67478100325,60616.99821608868,201.54990548762325,166.12206343023715,136.79617036671857,102.20381334309505,132.0381373937405,6.215699161968187,666.401213724696,28125.18572651585,800.0,53.78200066786643,5
area1,15,37130.55315632995,61377.610918101316,202.36154906339854,172.28494873154855,137.9043361260823,106.13957703559838,139.3894324500331,7.095953851386915,726.6601283106897,27294.727408888753,800.0,53.78200066786643,5
area1,16,36289.442301007184,62136.83663598565,203.00009457348528,178.6022411008978,138.85726243077448,110.18004205123961,146.515092735713,8.025217199018577,788.5411129160342,26464.506755163053,800.0,53.78200066786643,5
area1,17,35448.36819482381,62894.63899065318,203.47418184215934,185.07943821319157,139.66481679342206,114.32608544075339,153.42131509304377,9.001984972306973,852.0249921681302,25634.55297545115,800.0,53.78200066786643,5
area1,18,34849.076893330945,63409.26184526716,203.78982662013308,191.72151630302616,140.33576694854617,118.57943245254955,160.11476926474901,10.024794250998315,917.0951555618835,25046.61534986845,800.0,53.78200066786643,5
area1,19,34807.87206601783,63364.27756590073,204.23668860921728,198.36149240884623,140.87757120236097,122.9423091757952,166.60250827827426,11.09222657981254,983.7375718271154,25017.000750221287,800.0,53.78200066786643,5
area1,20,34765.8149972868,63318.34113338983,205.44641961840335,204.62562643797702,141.35348246717263,127.38290717474764,172.89185184917108,12.202910523676062,1051.9406712522036,24986.773630390442,800.0,53.78200066786643,5
area1,21,34722.89456364464,63271.43901429682,207.27756933688067,210.60262024339193,141.93495756675318,131.80378537036844,178.99370234052418,13.355523445643374,1121.6982637549581,24955.925995735004,800.0,53.78200066786643,5
area1,22,34679.09980913185,63223.55780207432,209.61680998229474,216.36330841721073,142.71602870926728,136.153166841675,184.92878708876353,14.548815391225876,1193.0154723633702,24924.449972023354,800.0,53.78200066786643,5
area1,23,34634.41996647579,63174.684239087386,212.3732906418967,221.9642097207042,143.74111564248278,140.4082793501315,190.72231001377395,15.781674588246922,1265.9049144795679,24892.33782063627,800.0,53.78200066786643,5
area1,24,34588.84447758041,63124.80523797587,215.47412140889801,227.4503688880813,145.02373852008017,144.5641802726258,196.40063471726026,17.053157290746448,1340.3840833460104,24859.581953293244,800.0,53.78200066786643,5
