area,t,S,SV,E,EV,I,IV,H,D,R,W,V,t_n,L
area2,-1,0,0,0,0,0,0,0,0,0,0,0,49.9419715770358,5
area1,0,49946.94039609729,49968.164237658384,31.25,18.749999999999996,21.80960390269776,13.085762341618652,0,0,0,49946.94039609729,0.0,47.58102291200632,5
area1,1,49934.495970303054,49960.69440939264,37.44442579424068,22.469828265739675,21.80960390269776,13.08576234161865,2.4374999999999996,0.0,7.562499999999998,49934.49597030306,0.0,47.58102291200632,5
area1,2,49922.054645073775,49953.22569780459,42.396865864671284,25.444574200639313,23.048489061545894,13.829727994766587,4.71249991875,0.016250008124999996,15.271250073124996,49922.05464507378,0.0,47.58102291200632,5
area1,3,49908.9097119374,49945.33381334897,47.06242582811229,28.247543816136904,24.922833675623885,14.955443853706194,6.974321515251789,0.04766668995833305,23.546239334834397,49908.909711937406,0.0,47.58102291200632,5
area1,4,49894.69928582881,49936.80133512349,51.86036677108426,31.130513278382583,27.19315747198913,16.319156116333136,9.294884400958182,0.0941621899744167,32.60713881896957,49894.699285828814,0.0,47.58102291200632,5
area1,5,49879.198446234754,49927.49298343385,56.98913301091852,34.21276231234855,29.772460496300585,17.86866188459595,11.7145457631485,0.15612811696375256,42.59487874710902,49879.19844623476,0.0,47.58102291200632,5
area1,6,49862.23220028417,49917.303379526325,62.55755235932376,37.559813757403376,32.63836332159893,19.590574042135117,14.261248833925599,0.23422512776656176,53.62264274734502,49862.232200284176,0.0,47.58102291200632,5
area1,7,49843.6386364701,49906.134919653705,68.639605701523,41.21631087853858,35.79666537802976,21.48844639978709,16.958574519993416,0.3293001675302285,65.79754083077617,49843.63863647011,0.0,47.58102291200632,5
area1,8,49823.25289934042,49893.88814102203,75.29742169090004,45.21982733451066,39.266300324286995,23.57374300226142,19.829183014240588,0.442357387525433,79.23012688381455,49823.25289934043,0.0,47.58102291200632,5
area1,9,49800.8997673047,49880.45724755975,82.59106938844268,49.60675532988514,43.07320171223575,25.862157363262494,22.89634436993965,0.5745520070509803,94.03890496472225,49800.899767304705,0.0,47.58102291200632,5
area1,10,49422.34971842338,50219.76777275408,90.58287468156396,54.414908780078626,47.24788510204718,28.372164131492024,26.184681439757455,0.7271943791717259,110.3528003084083,49422.34971842339,0.0,47.58102291200632,5
area1,11,48395.68031884171,51203.50795029002,99.13569932692099,59.791749488120786,51.82458635678121,31.124506440181946,29.720593159190077,0.9017590093857137,128.31283708766625,48395.680318841725,0.0,47.58102291200632,5
area1,12,47367.07858981285,52185.35126130366,107.91028849039631,65.99008857686154,56.80030268531626,34.16347540273672,33.53255349253945,1.0998963961822914,148.07354383943883,47367.07858981287,185.8890600028426,47.58102291200632,5
area1,13,46336.46146767706,53165.112327586394,116.9453529281075,73.03100457875786,62.10504084256175,37.57123180847137,37.64878386731415,1.3234468645743993,169.80134384674344,46336.46146767707,1000.0,47.58102291200632,5
area1,14,45303.75191645297,54142.594333204455,126.26583356657287,80.94279804494587,67.69660776888948,41.410607253637494,42.09313860624302,1.5744388825191065,193.67032621974906,45303.75191645299,1000.0,47.58102291200632,5
area1,15,44268.878813809584,55117.58818908144,135.88576949664315,89.76038255898166,73.54988989726563,45.73208773134452,46.88695520789605,1.8550599468711886,219.86285226996452,44268.878813809606,1000.0,47.58102291200632,5
area1,16,43231.77761729224,56089.87217016576,145.80981211466158,99.5243249628585,79.64977829884495,50.57867412988172,52.05015979745147,2.167639804547013,248.5698234337417,43231.77761729226,1000.0,47.58102291200632,5
area1,17,42192.391386574665,57059.211825836144,156.03408040930174,110.27980429991234,85.98642410489897,55.989157898379084,57.601899577957354,2.5146410433638886,279.9907802553716,42192.39138657469,1000.0,47.58102291200632,5
area1,18,41150.671983636086,58025.36008852584,166.54666726602494,122.07558075023796,92.55202464459431,62.00024979026516,63.560866027227505,2.8986538992232695,314.33388546050344,41150.67198363611,1000.0,47.58102291200632,5
area1,19,40106.58137135552,58988.05755813042,177.32794609338328,134.96299499562048,99.33863184337326,68.64789235766668,69.94541175377486,3.3223932179410065,351.81580025231045,40106.58137135555,1000.0,47.58102291200632,5
area1,20,39060.092969798796,59947.03296197116,188.35075843143068,148.99499215575014,106.3366499960626,75.96799619596187,76.77352756593002,3.7886961961175447,392.66144768879496,39060.092969798825,1000.0,47.58102291200632,5
area1,21,38011.193043908854,60902.003799269034,199.58053263508307,164.22515642672656,113.53380155632709,83.99676998923891,84.06272356923789,4.300519969135504,437.1036526763638,38011.19304390888,1000.0,47.58102291200632,5
area1,22,36959.88210080118,61852.67718252521,210.97536921574354,180.70674188521303,120.9144130375455,92.77076290199804,91.82984346549196,4.860938406472835,485.3826477611568,36959.8821008012,1000.0,47.58102291200632,5
area1,23,35906.17627530429,62798.75088895825,222.48612086947927,198.49168707512666,128.45892262211177,102.32670098345216,100.09083166204407,5.473137669008926,537.7454348562396,35906.176275304315,1000.0,47.58102291200632,5
area1,24,34850.10868121472,63739.91463448475,234.05649078515646,217.62960413361364,136.14354488126645,112.70117337094862,108.86046654343177,6.140410213725326,594.4449943724056,34850.10868121474,1000.0,47.58102291200632,5
area1,25,33791.73070400045,64675.85158116904,245.62316984239038,238.16673662259376,143.94005123812835,123.93020624358525,118.1520692116845,6.866147020216426,655.7393346519173,33791.730704000474,1000.0,47.58102291200632,5
area1,26,32731.113208866074,65606.24008681484,257.1160310082943,260.1448836522733,151.81564078324476,136.04875043467354,127.97719445619298,7.653827875467886,721.8903761089495,32731.113208866096,1000.0,47.58102291200632,5
