area,t,S,SV,E,EV,I,IV,H,D,R,W,V,t_n,L
area2,-1,0,0,0,0,0,0,0,0,0,0,0,5.504332660318851,20
area1,0,49946.94039609729,49968.164237658384,31.25,18.749999999999996,21.80960390269776,13.085762341618652,0,0,0,49946.94039609729,500,5.504332660318851,20
area1,1,49938.051520370966,49962.82864604,33.88887556731477,20.33559161838548,21.80960390269776,13.08576234161865,1.9874999999999998,0.0,8.012499999999998,0.0,500,5.504332660318851,20
area1,2,49929.16422656557,49957.49362431399,35.99839410023934,21.603495179577486,22.337379016160714,13.402880665295744,3.8424999337499997,0.013250006624999998,16.144250059624994,0.0,500,5.504332660318851,20
area1,3,49920.06340661755,49952.03003296885,37.89953593937284,22.74638677771277,23.135812794168377,13.882702786076774,5.6219329634827595,0.03886668565833311,24.581322308033556,0.0,500,5.504332660318851,20
area1,4,49910.63497079983,49946.375585486385,39.74416765339963,23.855453800942612,24.08566697380528,14.453600121509893,7.355504548260695,0.07634625748799471,33.41870417977239,0.0,500,5.504332660318851,20
area1,5,49900.82518711084,49940.485500447445,41.60511781170949,24.97444807969386,25.132246834134794,15.082708241276686,9.060072913510906,0.12538297899474785,42.709335403786994,0.0,500,5.504332660318851,20
area1,6,49890.5909654542,49934.340087063974,43.518315898610595,26.124971842783552,26.251097288971827,15.755331073804589,10.74638768636153,0.1857834952850636,52.4870600055618,0.0,500,5.504332660318851,20
area1,7,49879.90311487311,49927.9217534016,45.50250326358169,27.318311114747956,27.43195726749594,16.465304461210028,12.422253072185093,0.2574261156820994,62.7773761816904,0.0,500,5.504332660318851,20
area1,8,49868.73665860396,49921.2154297716,47.56845888400493,28.560972524193556,28.671254494108695,17.213301424733366,14.094017844071328,0.3402411775708436,73.60247853877242,0.0,500,5.504332660318851,20
area1,9,49357.067603018935,50414.20662854557,49.723822692225795,29.857579245379284,29.96859619927829,17.99266294280076,15.767306196232962,0.4342013435113786,84.98441309488874,0.0,500,5.504332660318851,20
area1,10,48844.99559655507,50906.80828835422,51.85106461764691,31.284403587647375,31.32523015629999,18.80800349971703,17.447276361033012,0.539316770710619,96.94363349649419,0.0,500,5.504332660318851,20
area1,11,48332.53466084894,51398.97259635723,53.968572721636036,32.83642954572218,32.71854054870833,19.675055846329098,19.13888963251877,0.655632004608427,109.50243589314908,0.0,500,5.504332660318851,20
area1,12,47819.62465416659,51890.998925878295,56.08648129517448,34.50762110273775,34.136070209451645,20.60404132653516,20.84496749699785,0.7832246659548509,122.68325067984586,0.0,500,5.504332660318851,20
area1,13,47306.286389032335,52382.314494729864,58.210428504982964,36.29236895795372,35.570958692493775,21.601044820096202,22.56716025697317,0.9221911854180616,136.50901990338662,0.0,500,5.504332660318851,20
area1,14,46792.517943993065,52873.16699323038,60.34343732344613,38.185803570827325,37.01943919002374,22.66928559654716,24.306470705763804,1.0726389956884168,151.00309986293206,0.0,500,5.504332660318851,20
area1,15,46278.3142681102,53371.70046652356,62.48685712520556,40.18401817530646,38.479428946588676,23.810086468024508,26.063538622881794,1.234682214748411,166.1890462775665,0.0,500,5.504332660318851,20
area1,16,46166.02371193638,53459.21739652601,64.64087072559556,42.28547491593732,39.949711938976925,25.023609813857547,27.838793451044427,1.4084392257794185,182.09040316025397,0.0,500,5.504332660318851,20
area1,17,46329.766159054925,53448.81926203203,66.93747870292472,44.40635315016083,41.42945718403148,26.309663909078044,29.632532856340063,1.5940312749156929,198.7305414938536,0.0,0,5.504332660318851,20
area1,18,46325.65370925899,53437.81763933212,69.45459941880759,46.53419878670249,42.94447194993134,27.65134784302181,31.444961571454478,1.7915815927330694,216.1326301316953,0.0,0,5.504332660318851,20
area1,19,46309.89755881035,53426.931704386276,72.11174430589546,48.680526724199254,44.52875156252908,29.034113197639705,33.2783440652896,2.0012147746926376,234.32032912978698,0.0,0,5.504332660318851,20
area1,20,46293.0,53416.0,74.90256749282796,50.85954556544625,46.19045155968265,30.449883689318746,35.13759138979464,2.2230705127223818,253.32020978443853,0.0,0,5.504332660318851,20
area2,0,89920.41059414596,9994.69403960973,46.875,3.1249999999999996,32.71440585404664,2.1809603902697754,0,0,0,89920.41059414596,0,5.504332660318851,20
area2,1,89402.05443119092,10493.470606850002,55.856163114053885,3.7241774666323577,32.71440585404664,2.1809603902659522,2.83125,0.0,7.168749999999999,0.0,0,5.504332660318851,20
area2,2,88883.80408421159,10992.185337865001,62.935277470610565,4.264610958305811,34.510638476857416,2.300795883596247,5.473749905624967,0.018875009437499996,14.507375084936436,0.0,0,5.504332660318851,20
area2,3,88364.66324995924,11490.765060099293,69.48905551767594,4.831967243519565,37.207945792021775,2.494376698099363,8.095537757791833,0.05536669372083279,22.398185104595804,0.0,0,5.504332660318851,20
area2,4,87844.14644812372,11989.160080699066,76.11194313995514,5.46665630396574,40.443038661986485,2.7459541220522654,10.776094921566624,0.10933697242457087,31.04119192043378,0.0,0,5.504332660318851,20
area2,5,87321.96196527148,12487.34340882978,83.07403736386664,6.189996912433205,44.075625257569335,3.052374564134774,13.558236168541578,0.18117764115533141,40.56392285584283,0.0,0,5.504332660318851,20
area2,6,86797.909803229,12985.279683276282,90.51139193325037,7.015723083419752,48.059636724655725,3.4156519154027483,16.469833768006897,0.2715659274730625,51.067455006965346,0.0,0,5.504332660318851,20
area2,7,86271.02284456197,13482.866251808297,99.303331549255,8.026661548361982,52.389416955484485,3.839969747037818,19.532958551443173,0.38136487415922105,62.64585621771311,0.0,0,5.504332660318851,20
area2,8,85735.99714508867,13979.582215180953,114.51675581054049,9.710261650629217,57.23679565898534,4.344878086331796,22.76775966459807,0.5115846629453706,75.39454689250059,0.0,0,5.504332660318851,20
area2,9,85682.04242559885,13974.329681160834,145.71617098974934,13.061207094989452,63.737741052302354,6.0,26.207983473745884,0.6633698032685567,89.45005976989887,0.0,0,5.504332660318851,20
area2,10,85635.31344367452,13967.718002595677,184.72926284677817,17.11854737492927,74.61558705915289,7.0,29.99198293922651,0.8380897804534742,105.47615451833266,0.0,0,5.504332660318851,20
area2,11,85554.91058181261,16378.677835816727,228.64562542516705,21.60835329094017,90.17877622938002,167316.0,34.46749533995053,1.0380364333549275,124.18935586383569,0.0,0,5.504332660318851,20
area2,12,85660.02261497213,4531.429692367804,103324.617539552,11864.588126380577,110.06527923158377,119373.0,1478.3598508732193,1.2678198505129155,46653.82327499624,0.0,0,5.504332660318851,20
area2,13,84060.44925426996,11049.595444815182,156395.1838612226,11832.042435141148,20744.0,87537.07764227611,2415.5301328334117,11.123557117533881,79947.1787559037,0.0,0,5.504332660318851,20
area2,14,84446.128602673,5220.861509611291,199021.54899562497,15294.473547469015,46079.0,64817.898252279636,4790.450993637588,27.2270993881904,108586.37105385358,0.0,0,5.504332660318851,20
area2,15,84560.01890222292,5220.187429535782,245321.61102332146,15429.608035891682,72679.0,49301.863041719414,8989.806864681668,59.1634553139443,136134.91385593778,0.0,0,5.504332660318851,20
area2,16,0.0,134608.9956224018,300022.6970526615,16187.168632591322,100915.62849566429,38259.300458987476,15062.648745887851,119.09553104451163,164958.3178017296,0.0,0,5.504332660318851,20
area2,17,0.0,15119.834652911082,240018.15764212923,133003.82350025984,132000.6753325656,30532.72819367324,23063.23961258465,219.51323955925977,196740.80779198156,0.0,0,5.504332660318851,20
area2,18,0.0,346382.38730786514,192014.52611370332,122767.3503139294,142176.7413302628,48384.0,33136.453029058626,373.2682471872895,233091.19934979733,0.0,0,5.504332660318851,20
area2,19,82614.88004359983,345314.68028055615,153611.62089096266,525196.476278502,139835.9156132487,59072.01879878587,43566.43787575271,594.1780445025238,277049.48690954276,0.0,0,5.504332660318851,20
area2,20,0.0,0.0,296657.2652209458,855947.6617938329,130485.32161823695,147182.98655529943,53191.73250875816,884.6211088956682,324134.9948845353,0.0,0,5.504332660318851,20
